,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
39951,포스치과의원,의료,병원,치과의원,역삼1동,127.0304596,37.49298162
40010,숨케어한의원,의료,병원,한의원,도곡1동,127.036794,37.48580695
40018,가로수아이니의원,의료,병원,내과/외과,신사동,127.022506,37.52188494
40035,연세자연의원,의료,병원,일반병원,역삼1동,127.0482142,37.50543442
40063,연세지아이내과,의료,병원,내과/외과,청담동,127.045958,37.5183013
40134,노들담한의원,의료,병원,한의원,역삼1동,127.0303564,37.49483694
40241,아이콘치과,의료,병원,치과의원,역삼1동,127.0285648,37.49783175
40277,블루비뇨기과,의료,병원,비뇨기과,삼성2동,127.0525166,37.50598261
40289,박종진이비인후과,의료,병원,이비인후과의원,일원1동,127.0810341,37.49090794
40338,연세브라이튼안과의원,의료,병원,안과의원,역삼1동,127.0260445,37.50205497
40366,고진수치과,의료,병원,치과의원,도곡2동,127.052724,37.49582937
40414,김재유내과,의료,병원,내과/외과,일원2동,127.0755734,37.49264943
40571,유니끄치과,의료,병원,치과의원,대치1동,127.0608697,37.49376791
40667,와이케이안과의원,의료,병원,안과의원,삼성1동,127.051309,37.51738928
40884,일원치과,의료,병원,치과의원,일원본동,127.0835061,37.48572802
40894,연세이존치과의원,의료,병원,치과의원,대치4동,127.0546499,37.49735857
40900,밝을명안과의원,의료,병원,내과/외과,논현2동,127.0429609,37.51027569
40967,장종언치과의원,의료,병원,치과의원,신사동,127.0278969,37.52404691
41012,닥터이지치과,의료,병원,치과의원,논현2동,127.0302675,37.51570463
41114,아삭치과,의료,병원,치과의원,역삼1동,127.0291825,37.49641316
41142,석전한의원,의료,병원,한의원,압구정동,127.0288418,37.52358613
41245,좋은아침외과,의료,병원,내과/외과,역삼1동,127.0344611,37.50716096
41256,노메스한의원,의료,병원,한의원,논현2동,127.0340251,37.50764396
41327,"스탠리의원,한의원",의료,병원,한의원,역삼1동,127.0380168,37.5024324
41332,우리이비인후과,의료,병원,이비인후과의원,개포2동,127.0668248,37.48867906
41397,강남예손치과의원,의료,병원,치과의원,대치1동,127.057935,37.49241999
41429,강남눈에미소안과,의료,병원,안과의원,역삼1동,127.0276118,37.49893221
41504,피어나의원,의료,병원,내과/외과,논현1동,127.0256871,37.50518769
41518,디올조병수의원,의료,병원,내과/외과,청담동,127.0489305,37.52474978
41560,오라한의원,의료,병원,한의원,대치1동,127.0629809,37.49314492
